Name;ISIN;Symbol;Market;Currency
3D SYSTEMS CORP;US88554D2053;4DDD;EuroTLX;EUR
3D SYSTEMS CORP;US88554D2053;1DDD;Euronext Global Equity Market;EUR
3D SYSTEMS CORP;US88554D2053;2DDD;Trading After Hours;EUR
3M;US88579Y1010;4MMM;EuroTLX;EUR
3M;US88579Y1010;1MMM;Euronext Global Equity Market;EUR
3M;US88579Y1010;2MMM;Trading After Hours;EUR
4AIM SICAF;IT0005204729;AIM;Euronext Growth Milan;EUR
4AIM SICAF COMP 2;IT0005440323;AIM2;Euronext Growth Milan;EUR
A.B.P. NOCIVELLI;IT0005439861;ABP;Euronext Growth Milan;EUR
A2A;IT0001233417;A2A;Euronext Milan;EUR
A2A;IT0001233417;2A2A;Trading After Hours;EUR
AAK AB;SE0011337708;1AAK;Euronext Global Equity Market;EUR
AALBERTS NV;NL0000852564;2AALB;Trading After Hours;EUR
AATECH;IT0005548521;AAT;Euronext Growth Milan;EUR
ABB Ltd;CH0012221716;1ABB;Euronext Global Equity Market;EUR
Abbott LaB;US0028241000;1ABT;Euronext Global Equity Market;EUR
ABBVIE;US00287Y1091;1ABBV;Euronext Global Equity Market;EUR
ABBVIE;US00287Y1091;4ABBV;EuroTLX;EUR
ABBVIE;US00287Y1091;2ABBV;Trading After Hours;EUR
ABC COMPANY;IT0005466294;ABC;Euronext Growth Milan;EUR
ABERCROMBIE & FITC;US0028962076;1ANF;Euronext Global Equity Market;EUR
ABITARE IN;IT0005445280;ABT;Euronext Milan;EUR
ACADIA HEALTHCARE;US00404A1097;1ACHC;Euronext Global Equity Market;EUR
Accenture PLC;IE00B4BNMY34;1ACN;Euronext Global Equity Market;EUR
Acciona;ES0125220311;1ANA;Euronext Global Equity Market;EUR
ACCIONA Energias;ES0105563003;1ANE;Euronext Global Equity Market;EUR
ACCOR;FR0000120404;2AC;Trading After Hours;EUR
ACCOR;FR0000120404;4AC;EuroTLX;EUR
ACEA;IT0001207098;ACE;Euronext Milan;EUR
Acerinox;ES0132105018;1ACX;Euronext Global Equity Market;EUR
ACINQUE;IT0001382024;AC5;Euronext Milan;EUR
ACKERMANS V.HAAREN;BE0003764785;2ACKB;Trading After Hours;EUR
ACM RESEARCH INC-C;US00108J1097;1ACMR;Euronext Global Equity Market;EUR
ACQUAZZURRA;IT0005443061;ACQ;Euronext Growth Milan;EUR
ACS ACTIVIDADES;ES0167050915;1ACS;Euronext Global Equity Market;EUR
ACS ACTIVIDADES;ES0167050915;2ACS;Trading After Hours;EUR
ACS ACTIVIDADES;ES0167050915;4ACS;EuroTLX;EUR
AddTech;SE0014781795;1ADDT;Euronext Global Equity Market;EUR
ADECCO;CH0012138605;1ADEN;Euronext Global Equity Market;EUR
ADIDAS;DE000A1EWWW0;1ADS;Euronext Global Equity Market;EUR
ADIDAS;DE000A1EWWW0;2ADS;Trading After Hours;EUR
ADIDAS;DE000A1EWWW0;4ADS;EuroTLX;EUR
ADLER GROUP;LU1250154413;4ADJ;EuroTLX;EUR
ADLER GROUP;LU1250154413;1ADJ;Euronext Global Equity Market;EUR
ADLER GROUP;LU1250154413;2ADJ;Trading After Hours;EUR
ADOBE;US00724F1012;2ADBE;Trading After Hours;EUR
ADOBE;US00724F1012;1ADBE;Euronext Global Equity Market;EUR
ADOBE;US00724F1012;4ADBE;EuroTLX;EUR
ADP;FR0010340141;2ADPP;Trading After Hours;EUR
ADVANCED MICRO DEV;US0079031078;1AMD;Euronext Global Equity Market;EUR
ADVANCED MICRO DEV;US0079031078;4AMD;EuroTLX;EUR
ADVANCED MICRO DEV;US0079031078;2AMDV;Trading After Hours;EUR
ADVENTURE;IT0005607715;ADV;Euronext Growth Milan;EUR
ADYEN;NL0012969182;4ADYEN;EuroTLX;EUR
ADYEN;NL0012969182;2ADYEN;Trading After Hours;EUR
AEDES;IT0005349052;AEDES;Euronext Milan;EUR
AEDIFICA;BE0003851681;2AED;Trading After Hours;EUR
AEFFE;IT0001384590;AEF;Euronext Milan;EUR
AENA SME;ES0105046017;4AENA;EuroTLX;EUR
AENA SME;ES0105046017;2AENA;Trading After Hours;EUR
AENA SME;ES0105046017;1AENA;Euronext Global Equity Market;EUR
AEROPORTO G. M. BO;IT0001006128;ADB;Euronext Milan;EUR
AEROVIRONMENT INC;US0080731088;1AVAV;Euronext Global Equity Market;EUR
AES Corp/The;US00130H1059;1AES;Euronext Global Equity Market;EUR
AFFIRM HOLDINGS;US00827B1061;1AFRM;Euronext Global Equity Market;EUR
Aflac Inc;US0010551028;1AFL;Euronext Global Equity Market;EUR
AGEAS;BE0974264930;1AGS;Euronext Global Equity Market;EUR
AGEAS;BE0974264930;4AGS;EuroTLX;EUR
AGEAS;BE0974264930;2AGS;Trading After Hours;EUR
AGFA-GEVAERT;BE0003755692;4AGFB;EuroTLX;EUR
AGILENT TECHNOL;US00846U1016;1A;Euronext Global Equity Market;EUR
AGILENT TECHNOL;US00846U1016;4A;EuroTLX;EUR
AGILENT TECHNOL;US00846U1016;2A;Trading After Hours;EUR
AHOLD DEL;NL0011794037;4AD;EuroTLX;EUR
AHOLD DEL;NL0011794037;1AD;Euronext Global Equity Market;EUR
AHOLD DEL;NL0011794037;2AD;Trading After Hours;EUR
AIR FRANCE-KLM;FR001400J770;4AF;EuroTLX;EUR
AIR FRANCE-KLM;FR001400J770;2AF;Trading After Hours;EUR
AIR FRANCE-KLM;FR001400J770;1AF;Euronext Global Equity Market;EUR
AIR LIQUIDE;FR0000120073;2AI;Trading After Hours;EUR
AIR PRODUCTS AND C;US0091581068;2APD;Trading After Hours;EUR
AIR PRODUCTS AND C;US0091581068;1APD;Euronext Global Equity Market;EUR
AIR PRODUCTS AND C;US0091581068;4APD;EuroTLX;EUR
AIRBNB;US0090661010;4ABNB;EuroTLX;EUR
AIRBNB;US0090661010;2ABNB;Trading After Hours;EUR
AIRBNB;US0090661010;1ABNB;Euronext Global Equity Market;EUR
AIRBUS;NL0000235190;1AIR;Euronext Global Equity Market;EUR
AIRBUS;NL0000235190;2AIR;Trading After Hours;EUR
AIRBUS;NL0000235190;4AIR;EuroTLX;EUR
AIXTRON;DE000A0WMPJ6;1AIXA;Euronext Global Equity Market;EUR
AIXTRON;DE000A0WMPJ6;4AIXA;EuroTLX;EUR
AIXTRON;DE000A0WMPJ6;2AIXA;Trading After Hours;EUR
AKAMAI TECHNOL;US00971T1016;1AKAM;Euronext Global Equity Market;EUR
AKAMAI TECHNOL;US00971T1016;2AKAM;Trading After Hours;EUR
AKAMAI TECHNOL;US00971T1016;4AKAM;EuroTLX;EUR
AKZO NOBEL;NL0013267909;4AKZA;EuroTLX;EUR
AKZO NOBEL;NL0013267909;2AKZA;Trading After Hours;EUR
ALA;IT0005446700;ALA;Euronext Growth Milan;EUR
Albemarle;US0126531013;1ALB;Euronext Global Equity Market;EUR
ALCOA;US0138721065;4AA;EuroTLX;EUR
ALCOA;US0138721065;2AA;Trading After Hours;EUR
ALCOA;US0138721065;1AA;Euronext Global Equity Market;EUR
Alcon;CH0432492467;1ALC;Euronext Global Equity Market;EUR
ALERION;IT0004720733;ARN;Euronext Milan;EUR
Alfa Laval;SE0000695876;1ALFA;Euronext Global Equity Market;EUR
ALFEN;NL0012817175;2ALFEN;Trading After Hours;EUR
ALFEN BEHEER;NL0012817175;4ALFEN;EuroTLX;EUR
ALFIO BARDOLLA;IT0005244030;ABTG;Euronext Growth Milan;EUR
ALFONSINO;IT0005466039;ALFO;Euronext Growth Milan;EUR
Align Technology;US0162551016;1ALGN;Euronext Global Equity Market;EUR
ALLCORE;IT0005461303;CORE;Euronext Growth Milan;EUR
Allegion plc;IE00BFRT3W74;1ALLE;Euronext Global Equity Market;EUR
ALLIANZ;DE0008404005;2ALV;Trading After Hours;EUR
ALLIANZ;DE0008404005;1ALV;Euronext Global Equity Market;EUR
ALLIANZ;DE0008404005;4ALV;EuroTLX;EUR
Allstate Corp;US0200021014;1ALL;Euronext Global Equity Market;EUR
ALNYLAM PHARMACEUT;US02043Q1076;1ALNY;Euronext Global Equity Market;EUR
ALPHABET CLASSE A;US02079K3059;4GOOGL;EuroTLX;EUR
ALPHABET CLASSE A;US02079K3059;2GOOGL;Trading After Hours;EUR
ALPHABET CLASSE A;US02079K3059;1GOOGL;Euronext Global Equity Market;EUR
ALPHABET CLASSE C;US02079K1079;2GOOG;Trading After Hours;EUR
ALPHABET CLASSE C;US02079K1079;4GOOG;EuroTLX;EUR
ALPHABET CLASSE C;US02079K1079;1GOOG;Euronext Global Equity Market;EUR
ALSTOM;FR0010220475;4ALO;EuroTLX;EUR
ALSTOM;FR0010220475;2ALO;Trading After Hours;EUR
ALTAREA;FR0000033219;2ALTA;Trading After Hours;EUR
ALTEA GREEN POWER;IT0005472730;AGP;Euronext Milan;EUR
ALTEN;FR0000071946;2ATE;Trading After Hours;EUR
ALTRI SGPS;PTALT0AE0002;2ALTR;Trading After Hours;EUR
ALTRIA GROUP;US02209S1033;1MO;Euronext Global Equity Market;EUR
ALTRIA GROUP;US02209S1033;4MO;EuroTLX;EUR
ALTRIA GROUP;US02209S1033;2MO;Trading After Hours;EUR
AMADEUS FIRE;DE0005093108;4AAD;EuroTLX;EUR
AMADEUS FIRE;DE0005093108;2AAD;Trading After Hours;EUR
AMADEUS FIRE;DE0005093108;1AAD;Euronext Global Equity Market;EUR
AMADEUS IT GROUP;ES0109067019;4AMS;EuroTLX;EUR
AMADEUS IT GROUP;ES0109067019;1AMS;Euronext Global Equity Market;EUR
AMADEUS IT GROUP;ES0109067019;2AMS;Trading After Hours;EUR
AMAZON;US0231351067;4AMZN;EuroTLX;EUR
AMAZON;US0231351067;1AMZN;Euronext Global Equity Market;EUR
AMAZON;US0231351067;2AMZN;Trading After Hours;EUR
AMBARELLA INC;KYG037AX1015;1AMBA;Euronext Global Equity Market;EUR
AMBROMOBILIARE;IT0004779515;AMB;Euronext Growth Milan;EUR
AMC ENTERTAINMENT;US00165C3025;2AMC;Trading After Hours;EUR
AMC ENTERTAINMENT;US00165C3025;1AMC;Euronext Global Equity Market;EUR
Amcor PLC;JE00BJ1F3079;1AMCR;Euronext Global Equity Market;EUR
Amentum H;US0239391016;1AMTM;Euronext Global Equity Market;EUR
Ameren Corp;US0236081024;1AEE;Euronext Global Equity Market;EUR
AMERICAN AIRLINES;US02376R1023;1AAL;Euronext Global Equity Market;EUR
AMERICAN AIRLINES;US02376R1023;2AAL;Trading After Hours;EUR
