symbol,exchange,currency,primaryExchange
4DDD,BVME,EUR,BVME
1DDD,BVME,EUR,BVME
2DDD,BVME,EUR,BVME
4MMM,BVME,EUR,BVME
1MMM,BVME,EUR,BVME
2MMM,BVME,EUR,BVME
AIM,BVME,EUR,BVME
AIM2,BVME,EUR,BVME
ABP,BVME,EUR,BVME
A2A,BVME,EUR,BVME
2A2A,BVME,EUR,BVME
1AAK,BVME,EUR,BVME
2AALB,BVME,EUR,BVME
AAT,BVME,EUR,BVME
1ABB,BVME,EUR,BVME
1ABT,BVME,EUR,BVME
1ABBV,BVME,EUR,BVME
4ABBV,BVME,EUR,BVME
2ABBV,BVME,EUR,BVME
ABC,BVME,EUR,BVME
1ANF,BVME,EUR,BVME
ABT,BVME,EUR,BVME
1ACHC,BVME,EUR,BVME
1ACN,BVME,EUR,BVME
1ANA,BVME,EUR,BVME
1ANE,BVME,EUR,BVME
2AC,BVME,EUR,BVME
4AC,BVME,EUR,BVME
ACE,BVME,EUR,BVME
1ACX,BVME,EUR,BVME
AC5,BVME,EUR,BVME
2ACKB,BVME,EUR,BVME
1ACMR,BVME,EUR,BVME
ACQ,BVME,EUR,BVME
1ACS,BVME,EUR,BVME
2ACS,BVME,EUR,BVME
4ACS,BVME,EUR,BVME
1ADDT,BVME,EUR,BVME
1ADEN,BVME,EUR,BVME
1ADS,BVME,EUR,BVME
2ADS,BVME,EUR,BVME
4ADS,BVME,EUR,BVME
4ADJ,BVME,EUR,BVME
1ADJ,BVME,EUR,BVME
2ADJ,BVME,EUR,BVME
2ADBE,BVME,EUR,BVME
1ADBE,BVME,EUR,BVME
4ADBE,BVME,EUR,BVME
2ADPP,BVME,EUR,BVME
1AMD,BVME,EUR,BVME
2AMDV,BVME,EUR,BVME
4AMD,BVME,EUR,BVME
ADV,BVME,EUR,BVME
2ADYEN,BVME,EUR,BVME
4ADYEN,BVME,EUR,BVME
AEDES,BVME,EUR,BVME
2AED,BVME,EUR,BVME
AEF,BVME,EUR,BVME
2AENA,BVME,EUR,BVME
4AENA,BVME,EUR,BVME
1AENA,BVME,EUR,BVME
ADB,BVME,EUR,BVME
1AVAV,BVME,EUR,BVME
1AES,BVME,EUR,BVME
1AFRM,BVME,EUR,BVME
1AFL,BVME,EUR,BVME
1AGS,BVME,EUR,BVME
2AGS,BVME,EUR,BVME
4AGS,BVME,EUR,BVME
4AGFB,BVME,EUR,BVME
1A,BVME,EUR,BVME
2A,BVME,EUR,BVME
4A,BVME,EUR,BVME
4AD,BVME,EUR,BVME
1AD,BVME,EUR,BVME
2AD,BVME,EUR,BVME
4AF,BVME,EUR,BVME
2AF,BVME,EUR,BVME
1AF,BVME,EUR,BVME
2AI,BVME,EUR,BVME
2APD,BVME,EUR,BVME
1APD,BVME,EUR,BVME
4APD,BVME,EUR,BVME
4ABNB,BVME,EUR,BVME
2ABNB,BVME,EUR,BVME
1ABNB,BVME,EUR,BVME
1AIR,BVME,EUR,BVME
2AIR,BVME,EUR,BVME
4AIR,BVME,EUR,BVME
1AIXA,BVME,EUR,BVME
2AIXA,BVME,EUR,BVME
4AIXA,BVME,EUR,BVME
1AKAM,BVME,EUR,BVME
2AKAM,BVME,EUR,BVME
4AKAM,BVME,EUR,BVME
4AKZA,BVME,EUR,BVME
2AKZA,BVME,EUR,BVME
ALA,BVME,EUR,BVME
1ALB,BVME,EUR,BVME
4AA,BVME,EUR,BVME
